สถานี,วันที่-เวลา,pH,DO,EC,Temp
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 11:30,6,1.4,"2,951.50",25.5
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 12:00,6.4,1.8,"2,577.50",26
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 12:30,6.4,2,"2,335.40",25.9
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 13:00,6.3,2.8,"2,249.20",26.2
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 13:30,6.3,2.5,"2,166.40",26.2
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 14:00,6.3,1.7,"2,064.40",26.2
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 14:30,6.3,2,"1,978.90",26.2
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 15:00,6.2,2.8,"1,908.20",26.3
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 15:30,6.2,2.9,"1,838.00",26.3
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 16:00,6.2,2.7,"1,769.70",26.2
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 16:30,6.2,2.5,"1,718.20",26.2
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 17:00,6.2,2.2,"1,675.70",26.2
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 17:30,6.2,1.9,"1,645.10",26.1
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 18:00,6.1,2.4,"1,621.90",26
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 18:30,6.1,2.2,"1,596.40",25.9
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 19:00,6.1,4.1,"1,573.60",25.9
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 19:30,6.1,2.6,"1,550.30",25.8
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 20:00,6.1,1.7,"1,501.30",25.7
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 20:30,6.2,1.5,"1,424.80",25.7
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 21:00,6.2,0.6,"1,338.30",25.7
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 21:30,6.2,0.4,"1,291.90",25.7
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 22:00,6.2,0.3,"1,246.60",25.7
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 22:30,6.3,0.1,"1,206.50",25.7
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 23:00,6.3,0.1,"1,168.90",25.7
กระทุ่มแบน จ.สมุทรสาคร (117),21 ม.ค.2558 23:30,6.3,0.1,"1,131.50",25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 00:00,6.3,0.1,"1,094.40",25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 00:30,6.3,0.1,"1,061.70",25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 01:00,6.3,0.1,"1,031.40",25.6
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 01:30,6.4,0.1,998.8,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 02:00,6.4,0.1,942.3,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 02:30,6.4,0.1,913.2,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 03:00,6.5,0.1,886.4,25.4
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 03:30,6.5,0.1,855.5,25.4
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 04:00,6.5,0.1,811.9,25.4
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 04:30,6.5,0.1,797.2,25.4
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 05:00,6.5,0.1,784.8,25.3
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 05:30,6.5,0.1,779.3,25.3
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 06:00,6.5,0.1,778.2,25.3
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 06:30,6.4,0.1,763.5,25.4
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 07:00,6.4,0.1,764.8,25.4
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 07:30,6.4,0.1,767.6,25.4
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 08:00,6.4,0.1,772.3,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 08:30,6.3,0.1,778.7,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 09:00,6.3,0.1,784,25.5
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 09:30,6.3,0.1,789,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 10:00,6.2,0.1,796,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 10:30,6.2,0.2,799.5,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 11:00,6.2,0.2,805.7,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 11:30,6.2,0.2,813,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 12:00,6.1,1.7,819.3,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 12:30,6.2,1.1,819.6,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 13:00,6.2,1.1,821.6,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 13:30,6.2,1.5,823.7,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 14:00,6.2,1,822.3,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 14:30,6.2,0.8,820.8,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 15:00,6.3,0.7,818.1,26
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 15:30,6.2,0.6,816.6,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 16:00,6.2,0.8,817.8,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 16:30,6.2,1,816.9,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 17:00,6.2,1.5,817.8,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 17:30,6.2,0.7,819.6,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 18:00,6.2,0.7,821.1,26
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 18:30,6.2,0.6,823.4,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 19:00,6.2,0.6,824.9,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 19:30,6.1,0.4,829.4,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 20:00,6.1,0.5,831.2,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 20:30,6.1,0.5,840.4,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 21:00,6.1,0.3,840.3,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 21:30,6.2,0.3,833.7,25.6
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 22:00,6.2,0.3,827.3,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 22:30,6.2,0.2,821.8,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 23:00,6.3,0.1,815.5,25.7
กระทุ่มแบน จ.สมุทรสาคร (117),22 ม.ค.2558 23:30,6.3,0.1,810.6,25.7
